docket,impactScore,records,states,status,medianMinDemandMw,themes,rationale
Docket No. 6630-TE-113,50.6,1,Wisconsin,Proposed / Pending: 1,500.0,"Exit and Modification, Minimum Bill",high threshold (500.0 MW); active regulatory uncertainty; tight exit/modification controls
Docket No. 20250113,37.7,2,Florida,Proposed / Pending: 2,50.5,"CIAC and Cost Recovery, Collateral or Credit, Exit and Modification, Minimum Bill",multi-record (2); active regulatory uncertainty; strong credit/collateral structure; tight exit/modification controls
Docket No. R-2025-3057164,37.6,2,Pennsylvania,Proposed / Pending: 2,50.0,"CIAC and Cost Recovery, Collateral or Credit, Exit and Modification, Interruptibility",multi-record (2); active regulatory uncertainty; strong credit/collateral structure; tight exit/modification controls
Docket No. 25-289,36.0,2,Minnesota,Proposed / Pending: 2,100.0,"Exit and Modification, Interruptibility, Load Ramp",multi-record (2); high threshold (100.0 MW); active regulatory uncertainty; tight exit/modification controls
Docket No. M-2025-3054271,35.0,1,Pennsylvania,Proposed / Pending: 1,50.0,"CIAC and Cost Recovery, Collateral or Credit, Exit and Modification, Interruptibility",active regulatory uncertainty; strong credit/collateral structure; tight exit/modification controls
Docket No. 58964,34.2,1,Texas,Proposed / Pending: 1,75.0,"Collateral or Credit, Exit and Modification, Load Ramp, Minimum Bill",high threshold (75.0 MW); active regulatory uncertainty; strong credit/collateral structure; tight exit/modification controls
Docket No. PUR-2025-00057,33.4,1,Virginia,Proposed / Pending: 1,100.0,"Collateral or Credit, Exit and Modification, Minimum Bill",high threshold (100.0 MW); active regulatory uncertainty; strong credit/collateral structure; tight exit/modification controls
Docket No. PUD2025-000075,33.1,1,Oklahoma,Proposed / Pending: 1,10.0,"CIAC and Cost Recovery, Collateral or Credit, Exit and Modification, Load Ramp",active regulatory uncertainty; strong credit/collateral structure; tight exit/modification controls
Docket No. 25-0826,33.0,2,Delaware,Proposed / Pending: 2,37.5,"Collateral or Credit, Load Ramp, Study Cost Recovery",multi-record (2); active regulatory uncertainty; strong credit/collateral structure
Docket No. U-21986,33.0,1,Michigan,Proposed / Pending: 1,50.0,"CIAC and Cost Recovery, Collateral or Credit, Exit and Modification, Load Ramp",active regulatory uncertainty; strong credit/collateral structure; tight exit/modification controls
Unspecified Docket,31.5,13,"Arizona, Iowa, Montana, Nebraska, North Carolina, North Dakota, South Dakota, Washington, Wyoming",Approved: 13,10.0,"CIAC and Cost Recovery, Clean Energy or Transition, Collateral or Credit, Exit and Modification",multi-record (13); strong credit/collateral structure; tight exit/modification controls
Docket No. 25A-0500E,30.8,1,Colorado,Proposed / Pending: 1,3.0,"CIAC and Cost Recovery, Clean Energy or Transition, Interruptibility, Minimum Bill",active regulatory uncertainty
Docket No. 26-001-U,30.6,1,Arkansas,Proposed / Pending: 1,0.0,"CIAC and Cost Recovery, Collateral or Credit, Exit and Modification, Interruptibility",active regulatory uncertainty; strong credit/collateral structure; tight exit/modification controls
Case No. PUR-2025-00048,29.8,1,Virginia,Proposed / Pending: 1,25.0,"CIAC and Cost Recovery, Collateral or Credit, Exit and Modification",active regulatory uncertainty; strong credit/collateral structure; tight exit/modification controls
Docket No. UE 463,29.6,1,Oregon,Proposed / Pending: 1,20.0,"CIAC and Cost Recovery, Clean Energy or Transition, Collateral or Credit",active regulatory uncertainty; strong credit/collateral structure
